check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
B1-headline-outside-envelope,headline,low,M021,PETG Basic,G021-01,V000431,tensileModulusXY,2.78 GPa,1.1-2.6,B-petg-basic-TDS,p. 2: Young's Modulus (X-Y),PETG/unfilled; specimen printed
B1-headline-outside-envelope,headline,low,M029,ABS-CF,G029-01,V000594,hdt045,76 °C,82-118,X-CarbonX-CF-ABS-TDS-v3,p. 1: Deflection Temperature at 0.45,ABS/carbon-fibre; specimen printed
B1-headline-outside-envelope,headline,low,M033,ASA-CF,G033-01,V000653,density,1020 kg/m³,1040-1250,B-asa-cf-TDS,p. 2: Density,ASA/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M049,PA6,G049-01,V000917,density,1250 kg/m³,1110-1180,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,p. 1: Specific gravity,PA6/unfilled; specimen unknown
B1-headline-outside-envelope,headline,low,M050,PA6-CF,G050-01,V000922,density,1090 kg/m³,1120-1330,B-pa6-cf-TDS,p. 2: Density,PA6/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M051,PA6-GF,G051-01,V000943,density,1140 kg/m³,1160-1450,B-pa6-gf-TDS,p. 2: Density,PA6/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M059,PA612-CF,G059-01,V001052,density,1030 kg/m³,1040-1260,S-FIBER-PA612,p. 1: Density,PA612/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M073,PPS-CF,G073-01,V001353,density,1260 kg/m³,1290-1520,B-pps-cf-TDS,p. 2: Density,PPS/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M074,PPS-GF,G074-01,V001374,density,1360 kg/m³,1380-1750,S-PPSGF-TDS-0,p. 1: Density,PPS/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M086,OBC,G086-01,V001683,density,905 kg/m³,860-900,X-EVOLV3D-OBC-TDS,p. 1: Density,OBC/unfilled; specimen unknown
B1-headline-outside-envelope,headline,low,M090,CPE-CF,G090-01,V001676,density,1160 kg/m³,1170-1400,S-CPECF,p. 1: Density,CPE/carbon-fibre; specimen unknown
B2-headline-condition,headline,medium,M002,PLA Basic,G002-01,V000048,hdt045,57 °C,"printed, dry, as-printed",B-pla-basic-filament-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
